iter	PRAUC	Logloss
0	0.1109455969	0.6433148439
1	0.1199531633	0.5998948063
2	0.1301504881	0.560841583
3	0.1458620094	0.5269654037
4	0.14814506	0.4977641566
5	0.1530194176	0.4718796892
6	0.1758967292	0.4484548402
7	0.2240326979	0.4256249969
8	0.2563367046	0.4055430862
9	0.2666261316	0.3900944022
10	0.2709023751	0.3748555812
11	0.2823420542	0.3630152025
12	0.2912753153	0.3523609323
13	0.2952558759	0.3433556044
14	0.318686943	0.3337195624
15	0.3187084664	0.3248017564
16	0.3199958618	0.3189079227
17	0.3312340963	0.3125497323
18	0.3384310691	0.3053973406
19	0.3371275864	0.2999722273
20	0.3488857055	0.295342574
21	0.3499818345	0.2903409233
22	0.3622629793	0.2865423877
23	0.3742493556	0.2830119333
24	0.3819256802	0.2798406979
25	0.3843345149	0.2762513068
26	0.3786003482	0.2735141834
27	0.3797260931	0.2712481249
28	0.3753149445	0.2692067189
29	0.3754567521	0.2669989384
30	0.3758921628	0.2647842152
31	0.3855886506	0.2632057478
32	0.3884044978	0.2609623548
33	0.3939652202	0.2595472472
34	0.3945728655	0.2577101203
35	0.3978218005	0.2566063653
36	0.4015709048	0.2557133987
37	0.402950191	0.2542054651
38	0.4117454023	0.2526492312
39	0.4162213754	0.2517127235
40	0.4214793941	0.249864969
41	0.4321825357	0.2486292556
42	0.437966395	0.2475993891
43	0.4386760775	0.2459758341
44	0.4457774928	0.2449542319
45	0.4432881674	0.2437398017
46	0.4481990494	0.2430625307
47	0.4540308504	0.2419712923
48	0.4529755026	0.2413420121
49	0.4573795331	0.24035654
50	0.458691462	0.2394713619
51	0.459869552	0.2388228119
52	0.4638082301	0.2378580889
53	0.4651927224	0.2372461555
54	0.4674529622	0.2369168589
55	0.4701136887	0.2360944097
56	0.4738875115	0.2353064189
57	0.4774678166	0.2344308193
58	0.4884506899	0.2335347221
59	0.4862469252	0.2328669892
60	0.4885961258	0.2322807495
61	0.4913774929	0.2314239487
62	0.4963674936	0.2307101488
63	0.497871565	0.2302026645
64	0.5060416012	0.2292225713
65	0.5050745782	0.2286813612
66	0.5085129096	0.2278959865
67	0.5134229047	0.2271163641
68	0.5171565787	0.2266322637
69	0.5195677421	0.2259919025
70	0.5191151854	0.2254576377
71	0.5226290942	0.2250089452
72	0.5225301757	0.2244213678
73	0.5299584988	0.2235242214
74	0.5351215446	0.2227337265
75	0.5416060141	0.2219116393
76	0.547113676	0.2211998633
77	0.5482572827	0.2205987901
78	0.5501004235	0.2201994348
79	0.5539434641	0.2196394375
80	0.5571599436	0.2189564336
81	0.5611211413	0.2183524114
82	0.5628683726	0.2176325723
83	0.5668872243	0.2170709535
84	0.5681140841	0.2167604303
85	0.5701689942	0.2163519547
86	0.5735260549	0.2159197157
87	0.5751294876	0.2154754149
88	0.5758318915	0.2148314875
89	0.5783961178	0.2143153428
90	0.5807182223	0.2139878268
91	0.583804311	0.2134920939
92	0.5847538182	0.2132095093
93	0.5880783441	0.2125701193
94	0.5914360159	0.2122210097
95	0.5936426137	0.2118356753
96	0.5986918207	0.2110603609
97	0.6034690929	0.2104540307
98	0.603600577	0.2100747624
99	0.6061286759	0.2096834821
100	0.6111132988	0.2089929779
101	0.6149602235	0.2085024528
102	0.6173867752	0.2080040677
103	0.6186749778	0.2075646252
104	0.6232352516	0.2069377899
105	0.6264640938	0.206317919
106	0.6293574374	0.2058582291
107	0.6309003235	0.2056469549
108	0.6314358593	0.2055027613
109	0.6335049104	0.205242443
110	0.6373600409	0.2047476893
111	0.639830336	0.2042354349
112	0.6449205506	0.2035519167
113	0.6455500531	0.2032901085
114	0.6470066476	0.2029971411
115	0.6492979327	0.2022754686
116	0.652338651	0.2017908653
117	0.6551788824	0.2013928379
118	0.657179664	0.2011240532
119	0.6577861559	0.2010003853
120	0.6599353959	0.200654329
121	0.6633479232	0.200082431
122	0.6643856122	0.1999802723
123	0.66762322	0.1994992348
124	0.6705477608	0.1992019561
125	0.6715535234	0.19879298
126	0.6731205237	0.1985368648
127	0.6789741712	0.1978487503
128	0.6804271121	0.1976392959
129	0.682009999	0.1973289797
130	0.6841471925	0.1970874254
131	0.6846438676	0.1967432541
132	0.6869047149	0.1962547011
133	0.6881042292	0.1961110723
134	0.6886106708	0.1959919031
135	0.6899190956	0.1957075412
136	0.6911911525	0.1954909389
137	0.6925391154	0.1952083224
138	0.6959111348	0.1945415984
139	0.6981600854	0.1941305744
140	0.6997365289	0.1938077995
141	0.7016860848	0.1934609801
142	0.7044976088	0.1930661928
143	0.7068485226	0.1927571142
144	0.7071022597	0.1926803213
145	0.7094362247	0.1923780777
146	0.7110286408	0.1920295429
147	0.7143731082	0.1915498864
148	0.7165205552	0.1911440342
149	0.7192344834	0.1906306678
150	0.7202418754	0.1904771222
151	0.7226746726	0.1901012763
152	0.7234057928	0.1899707113
153	0.7241390948	0.1898302023
154	0.7249558534	0.1895774083
155	0.7272052408	0.1892715945
156	0.7284418598	0.1890593384
157	0.7293508659	0.1889358195
158	0.7334577307	0.1883860585
159	0.7358922729	0.1878753275
160	0.7383530963	0.1873700948
161	0.740795145	0.1870301612
162	0.7421354993	0.1867400081
163	0.7434193817	0.1865420823
164	0.7443524969	0.1862932775
165	0.7470579268	0.1857544904
166	0.7486011997	0.1854351614
167	0.7501843606	0.1852054337
168	0.7548721696	0.1843858173
169	0.757821614	0.1838938347
170	0.7583683402	0.1836384465
171	0.7596060576	0.1834287926
172	0.7616403265	0.183129882
173	0.7634036063	0.1828601618
174	0.7657667438	0.1823262427
175	0.7680516519	0.1818341348
176	0.7684175785	0.1817824731
177	0.7701226713	0.181323919
178	0.7708935452	0.1812263055
179	0.7720325146	0.1810151716
180	0.772768576	0.1808882995
181	0.7744705074	0.1806507561
182	0.7758385339	0.1803809399
183	0.7760345333	0.1803419461
184	0.7765921472	0.1800857482
185	0.7789671426	0.1796379113
186	0.7801906995	0.1793684039
187	0.7817728225	0.1787946492
188	0.7829682	0.1786027134
189	0.7832720622	0.1785491762
190	0.7852913735	0.1781374373
191	0.7884860822	0.1776798087
192	0.78897258	0.1776197372
193	0.7895076124	0.1775579614
194	0.7910143493	0.1772562502
195	0.7912906525	0.1772044749
196	0.7922687226	0.1769162758
197	0.7925685316	0.17684412
198	0.7940294013	0.1765480743
199	0.7954897353	0.176328401
200	0.7958133777	0.1762624252
201	0.7962520745	0.1761772339
202	0.7974283891	0.1758940289
203	0.7983687231	0.1756977725
204	0.7991820788	0.1755356121
205	0.7992397088	0.1755104347
206	0.8001259706	0.1753569958
207	0.8002403928	0.1753136914
208	0.8014688595	0.17507819
209	0.8017976861	0.1749191761
210	0.8023076404	0.1748272834
211	0.8054442885	0.1742309997
212	0.8055640906	0.1741943973
213	0.8077052758	0.1737529141
214	0.8088315159	0.1734335836
215	0.810281576	0.1730973936
216	0.8102912899	0.1730721353
217	0.8120373906	0.172770667
218	0.8133385552	0.1723948604
219	0.8165243174	0.171782182
220	0.8167374926	0.1717319742
221	0.8179665502	0.1714744589
222	0.8200570525	0.1711111308
223	0.8212024024	0.170798769
224	0.8212024024	0.1707754996
225	0.822673612	0.170358167
226	0.8226827763	0.1700164708
227	0.824258336	0.1695451169
228	0.8250813709	0.1693201884
229	0.8268103849	0.169028502
230	0.8270258026	0.1688150353
231	0.8277615407	0.1684900794
232	0.8282950339	0.1682367223
233	0.829764764	0.1677929432
234	0.8312128343	0.1674744588
235	0.8314846837	0.1674277596
236	0.8326823906	0.1671116286
237	0.8346546665	0.1666871911
238	0.8350790891	0.1664655278
239	0.8363309879	0.1661029171
240	0.8384786704	0.1656693253
241	0.839733886	0.1652989016
242	0.8404715812	0.1649856659
243	0.841554483	0.1646445482
244	0.8437440276	0.1641889586
245	0.8437487981	0.1641635661
246	0.8453116593	0.1638107877
247	0.848245131	0.1631374482
248	0.8490288625	0.1628454495
249	0.8490583252	0.1628153869
250	0.8494218258	0.1624528209
251	0.8502814489	0.1622503234
252	0.8536183673	0.1614508097
253	0.8549489548	0.1611222835
254	0.8560492751	0.1607490473
255	0.8575350971	0.160437194
256	0.8575359735	0.1604166984
257	0.8586226639	0.159998536
258	0.8608641128	0.1593970342
259	0.8616281156	0.159145458
260	0.8633399368	0.1587416514
261	0.8646933368	0.1583206171
262	0.8655846494	0.1580766372
263	0.8661137967	0.1578850614
264	0.8668300568	0.1577160068
265	0.8675107087	0.1574155872
266	0.8682080788	0.1571144642
267	0.8694117211	0.1568406986
268	0.8696343714	0.1565630804
269	0.8703461276	0.1563482089
270	0.8703194734	0.1561273976
271	0.8703271535	0.1561083816
272	0.8710724543	0.1557730553
273	0.8716530958	0.1555391633
274	0.8725134613	0.1553500764
275	0.8736035642	0.1550684578
276	0.8741640738	0.1547749568
277	0.8754588331	0.1544261387
278	0.8761789863	0.1540943449
279	0.8781493896	0.1536095954
280	0.8792265667	0.153324366
281	0.8806023359	0.1530870336
282	0.8823695494	0.1526081887
283	0.8847152623	0.1519120585
284	0.8864154958	0.1514377952
285	0.8877295202	0.1511036546
286	0.8889492989	0.1507311989
287	0.8891018154	0.1506559984
288	0.890358136	0.150316797
289	0.8915722128	0.1499676129
290	0.89158207	0.1499503795
291	0.8921575528	0.1497311325
292	0.8930224402	0.1494648275
293	0.8943557353	0.1491104872
294	0.8952461614	0.1487572209
295	0.8952460858	0.1487375819
296	0.895357694	0.1485071651
297	0.8958679023	0.1482944488
298	0.8972107685	0.1478677168
299	0.8978744329	0.1476854287
300	0.8993146338	0.1472524104
301	0.899580242	0.1471643979
302	0.9001425399	0.1468875502
303	0.9004411431	0.1467759714
304	0.9012887291	0.1465467851
305	0.901938011	0.1463171183
306	0.9024216299	0.1460953601
307	0.902935278	0.1458801768
308	0.9046563088	0.1454577888
309	0.9048910785	0.1453224971
310	0.9057150023	0.1450342903
311	0.9065300859	0.1448362079
312	0.9078210258	0.1444601997
313	0.9093620398	0.1439196439
314	0.9096846504	0.1436282271
315	0.9109347738	0.1432813841
316	0.9109375232	0.143263067
317	0.9120065643	0.1428986043
318	0.9123074976	0.1427414033
319	0.9140406632	0.1422280714
320	0.9141651772	0.1420533565
321	0.9149829014	0.141577367
322	0.9167893559	0.1409291413
323	0.9179089335	0.1404690993
324	0.9192840687	0.1400526881
325	0.9203720366	0.1395618154
326	0.9214277332	0.1390776523
327	0.9215613491	0.1388952841
328	0.9231707026	0.1384723501
329	0.9236797892	0.138202336
330	0.9238443325	0.1381472594
331	0.9249589409	0.1376075017
332	0.9257472629	0.1372083734
333	0.9263324227	0.1369249986
334	0.9268007602	0.1366116589
335	0.9273067862	0.1364049104
336	0.9279815271	0.1360348187
337	0.9287525036	0.135766226
338	0.9295372439	0.135525708
339	0.9301800972	0.135287004
340	0.930739485	0.1349065862
341	0.9315751328	0.1346743399
342	0.9317842224	0.1345609898
343	0.9323113042	0.1342761428
344	0.9328993018	0.1340049093
345	0.9337465652	0.1335972369
346	0.9336975649	0.1335641907
347	0.9341982522	0.1334481825
348	0.935173826	0.1330598972
349	0.9357061545	0.1328383636
350	0.936771778	0.1325013974
351	0.9370393595	0.1322836646
352	0.9372492911	0.132156197
353	0.937320227	0.1320421827
354	0.9373945024	0.1319457435
355	0.9379254302	0.1317360839
356	0.9377782135	0.1315181611
357	0.9384757847	0.131251522
358	0.9387126251	0.1310462877
359	0.9387126251	0.1310300161
360	0.9392128744	0.1307815735
361	0.9397913778	0.1305443202
362	0.940327674	0.1303168906
363	0.9405577178	0.1301924275
364	0.9408394627	0.1300081323
365	0.9416622606	0.1296933391
366	0.9419588814	0.1294981614
367	0.9426937206	0.1291801347
368	0.942797849	0.1290493596
369	0.9430114048	0.1287885831
370	0.9433222859	0.1285955052
371	0.9439793588	0.1282370448
372	0.9442980397	0.1280490448
373	0.9447266189	0.1279373241
374	0.9451357554	0.1276525989
375	0.9455621595	0.1273525693
376	0.9459079234	0.1271740051
377	0.9464344548	0.1268358613
378	0.9469468096	0.1265860927
379	0.9471930701	0.1264130366
380	0.9476680753	0.1261732606
381	0.94783053	0.126022114
382	0.9483578002	0.1257994423
383	0.949170304	0.1253230227
384	0.9495136605	0.1251679182
385	0.9497734541	0.1250562965
386	0.9504220836	0.124799539
387	0.9506431169	0.1247305717
388	0.9510881974	0.1244990241
389	0.9512040545	0.1243231456
390	0.9515406502	0.1240753088
391	0.9516339122	0.1239177152
392	0.9522416302	0.1236119711
393	0.95241127	0.1235120658
394	0.9529868285	0.1231255966
395	0.9537304417	0.1227338774
396	0.9536932947	0.1225433001
397	0.9539307189	0.1223827054
398	0.9547769896	0.1221260472
399	0.9550780183	0.1219910894
400	0.9551785779	0.1218681193
401	0.9555809008	0.1216165057
402	0.9559252856	0.1213611106
403	0.9561442254	0.1211662356
404	0.9566331238	0.1209830702
405	0.9571622307	0.1206334864
406	0.9575509623	0.1203940335
407	0.9579638331	0.1202808132
408	0.9590213416	0.1199545776
409	0.9593154408	0.1197104684
410	0.9596217464	0.1195425711
411	0.9600164105	0.1192342594
412	0.9604934089	0.1188563536
413	0.9614129556	0.1185537911
414	0.961692815	0.1183684557
415	0.9618817077	0.1181799474
416	0.9621366075	0.1180218
417	0.9621776196	0.1179418637
418	0.9625986612	0.1177468787
419	0.9632980896	0.1174503044
420	0.9636359978	0.117220934
421	0.9638631988	0.1170108753
422	0.9639772302	0.1169260805
423	0.9641678028	0.1167227254
424	0.9646438346	0.1164887952
425	0.9648850269	0.1162958452
426	0.9650322584	0.1161125923
427	0.9651803106	0.1159105456
428	0.965435247	0.1156836586
429	0.9656301565	0.1155136717
430	0.9659296406	0.1152409027
431	0.9661508387	0.1150452718
432	0.9662378606	0.1150053948
433	0.9662234197	0.1148755551
434	0.9664138059	0.1147084142
435	0.9663648913	0.1145318844
436	0.9670388665	0.1140438166
437	0.9674694862	0.113801267
438	0.9677875193	0.1136905362
439	0.9681893046	0.1134015824
440	0.9681884537	0.113372428
441	0.9684996941	0.1130775853
442	0.9688832962	0.1128595433
443	0.9689113789	0.112817046
444	0.9691157833	0.1126687975
445	0.9692206451	0.1125597042
446	0.9695526449	0.1122467637
447	0.9698458188	0.1120082445
448	0.9703805252	0.1116780439
449	0.9705087889	0.1115598294
450	0.970895539	0.1114026773
451	0.9713479536	0.1110629248
452	0.9713627387	0.1110470498
453	0.9714586256	0.1108593675
454	0.9716506517	0.1105909068
455	0.9719404328	0.1103591727
456	0.9721811268	0.110186558
457	0.9724473528	0.1100447782
458	0.9726854687	0.1098253819
459	0.9727584224	0.109804803
460	0.9727627055	0.1097922687
461	0.972961797	0.1095294337
462	0.9732522791	0.1093448673
463	0.9735404867	0.1090508377
464	0.9736407965	0.1089397318
465	0.9739751846	0.1086482387
466	0.9739492141	0.1085064233
467	0.9740204308	0.1083438053
468	0.9741190996	0.1081719162
469	0.974331563	0.1080205119
470	0.9744347402	0.107890517
471	0.9749493368	0.107623131
472	0.9751051527	0.1073659358
473	0.9753529378	0.1071846593
474	0.9756778127	0.1069234825
475	0.975676724	0.1069015748
