iter	Passed	Remaining
0	16	11230
1	29	10335
2	43	10114
3	59	10323
4	72	10008
5	85	9892
6	100	9943
7	116	10048
8	130	9981
9	142	9845
10	160	10071
11	184	10606
12	211	11176
13	230	11312
14	248	11357
15	265	11339
16	280	11288
17	296	11236
18	316	11333
19	329	11215
20	343	11117
21	357	11016
22	376	11069
23	392	11043
24	406	10977
25	421	10930
26	436	10880
27	450	10823
28	465	10761
29	478	10692
30	493	10651
31	510	10663
32	528	10678
33	545	10687
34	560	10652
35	576	10625
36	591	10595
37	607	10582
38	622	10555
39	638	10532
40	652	10481
41	666	10442
42	682	10425
43	697	10399
44	711	10355
45	726	10325
46	740	10293
47	761	10344
48	779	10360
49	795	10336
50	812	10336
51	828	10319
52	844	10306
53	859	10277
54	873	10249
55	890	10245
56	905	10211
57	919	10175
58	933	10140
59	947	10108
60	961	10074
61	975	10040
62	989	10005
63	1004	9985
64	1019	9957
65	1032	9922
66	1046	9890
67	1062	9875
68	1076	9846
69	1090	9815
70	1106	9805
71	1125	9820
72	1140	9798
73	1162	9834
74	1178	9818
75	1193	9798
76	1209	9785
77	1242	9908
78	1264	9941
79	1280	9923
80	1295	9901
81	1310	9878
82	1326	9862
83	1339	9826
84	1352	9785
85	1364	9742
86	1376	9699
87	1388	9657
88	1400	9614
89	1412	9573
90	1424	9531
91	1436	9493
92	1449	9459
93	1461	9421
94	1473	9384
95	1486	9351
96	1498	9315
97	1511	9285
98	1523	9250
99	1539	9235
100	1552	9204
101	1564	9173
102	1576	9139
103	1589	9110
104	1603	9084
105	1618	9068
106	1631	9043
107	1644	9016
108	1657	8989
109	1671	8966
110	1685	8944
111	1698	8915
112	1712	8898
113	1725	8869
114	1737	8840
115	1749	8809
116	1761	8779
117	1773	8749
118	1786	8719
119	1797	8689
120	1812	8673
121	1828	8664
122	1842	8642
123	1857	8627
124	1870	8604
125	1883	8579
126	1896	8555
127	1911	8539
128	1938	8581
129	1953	8566
130	1968	8549
131	2004	8625
132	2018	8607
133	2034	8593
134	2051	8587
135	2069	8580
136	2084	8565
137	2098	8547
138	2116	8540
139	2130	8523
140	2145	8507
141	2160	8490
142	2185	8511
143	2207	8523
144	2223	8512
145	2239	8498
146	2258	8496
147	2276	8490
148	2292	8477
149	2310	8470
150	2326	8457
151	2342	8444
152	2358	8432
153	2375	8421
154	2391	8409
155	2409	8401
156	2427	8394
157	2444	8384
158	2463	8380
159	2482	8379
160	2501	8373
161	2517	8360
162	2534	8348
163	2556	8354
164	2579	8363
165	2597	8356
166	2614	8345
167	2631	8333
168	2647	8319
169	2664	8308
170	2683	8302
171	2699	8287
172	2716	8274
173	2732	8261
174	2747	8241
175	2762	8223
176	2776	8203
177	2791	8184
178	2805	8164
179	2822	8152
180	2837	8135
181	2852	8117
182	2867	8101
183	2883	8085
184	2898	8068
185	2913	8051
186	2927	8031
187	2941	8011
188	2954	7988
189	2967	7965
190	2980	7942
191	2995	7924
192	3009	7905
193	3024	7887
194	3038	7867
195	3051	7847
196	3065	7826
197	3079	7806
198	3092	7786
199	3106	7766
200	3120	7746
201	3133	7725
202	3147	7706
203	3162	7688
204	3176	7670
205	3189	7649
206	3203	7630
207	3217	7610
208	3235	7601
209	3252	7588
210	3270	7579
211	3287	7567
212	3304	7554
213	3321	7542
214	3335	7525
215	3350	7508
216	3365	7491
217	3380	7473
218	3394	7455
219	3409	7437
220	3424	7421
221	3440	7406
222	3459	7399
223	3477	7390
224	3497	7383
225	3523	7390
226	3545	7387
227	3568	7387
228	3594	7393
229	3620	7397
230	3641	7393
231	3663	7390
232	3682	7381
233	3700	7368
234	3715	7352
235	3731	7337
236	3748	7322
237	3763	7305
238	3780	7291
239	3799	7283
240	3820	7277
241	3836	7260
242	3850	7241
243	3865	7224
244	3881	7208
245	3896	7191
246	3915	7180
247	3930	7163
248	3946	7148
249	3963	7134
250	3978	7116
251	3994	7100
252	4010	7086
253	4024	7066
254	4039	7049
255	4055	7032
256	4070	7015
257	4085	6998
258	4100	6982
259	4117	6967
260	4133	6951
261	4147	6934
262	4163	6917
263	4178	6900
264	4193	6883
265	4208	6866
266	4222	6847
267	4236	6828
268	4250	6809
269	4266	6794
270	4281	6777
271	4296	6759
272	4311	6742
273	4326	6726
274	4341	6709
275	4356	6692
276	4372	6676
277	4387	6659
278	4402	6642
279	4417	6625
280	4432	6608
281	4445	6590
282	4461	6574
283	4475	6555
284	4489	6537
285	4503	6519
286	4517	6501
287	4531	6482
288	4545	6463
289	4558	6445
290	4572	6426
291	4585	6407
292	4598	6387
293	4611	6368
294	4624	6348
295	4637	6328
296	4650	6310
297	4663	6290
298	4676	6271
299	4689	6252
300	4702	6234
301	4717	6217
302	4733	6201
303	4746	6183
304	4760	6165
305	4774	6147
306	4791	6133
307	4811	6123
308	4827	6108
309	4844	6094
310	4858	6077
311	4873	6060
312	4888	6044
313	4902	6026
314	4919	6012
315	4934	5996
316	4949	5980
317	4964	5964
318	4980	5947
319	4994	5931
320	5010	5915
321	5027	5902
322	5044	5888
323	5061	5874
